code	term
1112.7	secretario general
1114.1	responsable de grupos que representan intereses específicos
1114.1	responsable de organizaciones que representan intereses específicos
1120.1	directora de acuario
1120.1	directora de instalaciones para animales
1120.1	directora de parque zoológico
1120.1	directora de refugio para animales
1120.1	director de acuario
1120.1	director de instalaciones para animales
1120.1	director de parque zoológico
1120.1	director de refugio para animales
1120.2.1	directora de sucursal
1120.2.1	director de sucursal
1120.2	directora de empresa
1120.2	director de empresa
1120.2	gerente de empresa
1120.3.1	directora ejecutiva de aeropuerto
1120.3.1	directora general de aeropuerto
1120.3.1	director ejecutivo de aeropuerto
1120.3.1	director general de aeropuerto
1120.3	consejera delegada
1120.3	consejero delegado
1120.3	directora ejecutiva
1120.3	director ejecutivo
1120.3	presidenta y directora ejecutiva
1120.3	presidente y director ejecutivo
1120.4	directora de operaciones
1120.4	director de operaciones
1211.1.1	contable jefe
1211.1.1	directora de contabilidad
1211.1.1	director de contabilidad
1211.1.1	jefa de contabilidad
1211.1.1	jefe de contabilidad
1211.1.2	responsable de tesorería de entidad financiera
1211.1.2	tesorera de banco
1211.1.2	tesorera de entidad financiera
1211.1.2	tesorero de banco
1211.1.2	tesorero de entidad financiera
1211.1.3	directora de presupuesto
1211.1.3	director de presupuesto
1211.1.3	gestora de presupuesto
1211.1.3	gestor de presupuesto
1211.1.4	jefa de tesorería
1211.1.4	jefe de tesorería
1211.1.4	tesorera
1211.1.4	tesorero
1211.1	directora financiera
1211.1	director financiero
1212.1.1	responsable de igualdad e inclusión
1212.1	directora de recursos humanos
1212.1	director de recursos humanos
1213.1	directora de cumplimiento normativo y seguridad de la información en los juegos de azar
1213.1	director de cumplimiento normativo y seguridad de la información en los juegos de azar
1213.2.1	administradora de la Seguridad Social
1213.2.1	administrador de la Seguridad Social
1213.2.1	directiva de la Seguridad Social
1213.2.1	directivo de la Seguridad Social
1213.2.2	directora de planificación estratégica
1213.2.2	director de planificación estratégica
1213.2.3	directora de política turística
1213.2.3	director de política turística
1213.2.3	responsable de política turística
1213.2	directora de estrategia
1213.2	directora de políticas
1213.2	director de estrategia
1213.2	director de políticas
1213.3	coordinadora de programa
1213.3	coordinador de programa
1213.3	gestora de programa
1213.3	gestor de programa
1219.1.1	directora de instalaciones
1219.1.1	director de instalaciones
1219.1.1	reponsable de instalaciones
1219.1.2	directora de seguridad
1219.1.2	director de seguridad
1219.1	directora de servicios a las empresas
1219.1	director de servicios a las empresas
1219.1	responsable de servicios a las empresas
1219.2	directora de responsabilidad social empresarial
1219.2	director de responsabilidad social empresarial
1219.2	gerente de responsabilidad social empresarial
1219.3	funcionaria del Ministerio de Defensa
1219.3	funcionaria del sector de la Defensa
1219.3	funcionario del Ministerio de Defensa
1219.3	funcionario del sector de la Defensa
1219.4	directora de departamento
1219.4	director de departamento
1219.4	jefa de departamento
1219.4	jefa de división
1219.4	jefa de sección
1219.4	jefe de departamento
1219.4	jefe de división
1219.4	jefe de sección
1219.5.1	directora de planta química
1219.5.1	director de planta química
1219.5.2	directora de fábrica de fundición
1219.5.2	directora de fundición
1219.5.2	director de fábrica de fundición
1219.5.2	director de fundición
1219.5.2	firectora de fábrica de fundición
1219.5.3	directora de central de energía
1219.5.3	directora de central eléctrica
1219.5.3	director de central de energía
1219.5.3	director de central eléctrica
1219.5.4	directora de EDAR
1219.5.4	directora de estación depuradora de aguas residuales
1219.5.4	director de EDAR
1219.5.4	director de estación depuradora de aguas residuales
1219.5.5	directora de planta maderera
1219.5.5	director de aserradero
1219.5.5	director de planta maderera
1219.5.5	directorz de aserradero
1219.5	directora de mantenimiento de fábrica
1219.5	directora de mantenimiento de una fábrica
1219.5	director de mantenimiento de fábrica
1219.5	director de mantenimiento de una fábrica
1219.6	directora de proyecto
1219.6	director de proyecto
1219.6	jefa de proyecto
1219.6	jefe de proyecto
1219.7	directora del departamento de control de la calidad
1219.7	director del departamento de control de la calidad
1219.7	responsable de la calidad de los servicios
1219.7	responsable del aseguramiento de la calidad
1221.1	directora de casa de subastas
1221.1	director de casa de subastas
1221.1	gerente de casa de subastas
1221.1	subastador
1221.1	subastadora
1221.2	directora de productos bancarios
1221.2	director de productos bancarios
1221.2	responsable de desarrollo de productos bancarios
1221.3.1	agente de turismo receptivo
1221.3.1	agente turístico receptivo
1221.3.1	gestora y planificadora de destinos turísticos
1221.3.1	gestor y planificador de destinos turísticos
1221.3.1	responsable de turismo receptivo
1221.3.1	responsable turístico receptivo
1221.3.2.1.1	directora de categoría de productos
1221.3.2.1.1	directora de líneas de productos
1221.3.2.1.1	director de categoría de productos
1221.3.2.1.1	director de líneas de productos
1221.3.2.1.1	gestora de categorías de productos
1221.3.2.1.1	gestor de categorías de productos
1221.3.2.1.2	agente de patentes y marcas
1221.3.2.1.2	gestora de patentes y marcas
1221.3.2.1.2	gestor de patentes y marcas
1221.3.2.1.3	directora de servicio posventa de vehículos de motor
1221.3.2.1.3	director de servicio posventa de vehículos de motor
1221.3.2.1.3	gestora de servicio posventa de vehículos de motor
1221.3.2.1.3	gestor de servicio posventa de vehículos de motor
1221.3.2.1.4	directora de comercialización y ventas por canales electrónicos
1221.3.2.1.4	directora de comercio electrónico
1221.3.2.1.4	director de comercialización y ventas por canales electrónicos
1221.3.2.1.4	director de comercio electrónico
1221.3.2.1.4	responsable de comercio electrónico
1221.3.2.1	directora de ventas
1221.3.2.1	director de ventas
1221.3.2.1	jefa de ventas
1221.3.2.1	jefe de ventas
1221.3.2	responsable de marketing
1221.3.2	responsable de mercadotecnia
1221.3.3	directora de promoción
1221.3.3	director de promoción
1221.3.3	responsable de promoción
1221.3	directora de marketing
1221.3	directora de mercadotecnia
1221.3	director de marketing
1221.3	director de mercadotecnia
1221.3	jefa de marketing
1221.3	jefe de marketing
1221.3	responsable de marketing
1221.4	directora comercial
1221.4	director comercial
1221.5	directora de producto turístico
1221.5	director de producto turístico
1221.5	jefa de producto turístico
1221.5	jefe de producto turístico
1221.5	responsable de productos turísticos
1222.1.1	directora de publicidad
1222.1.1	director de publicidad
1222.1.2	directora de relaciones públicas
1222.1.2	director de relaciones públicas
1222.1	directora de comunicación
1222.1	directora de departamento de publicidad y relaciones públicass
1222.1	director de comunicación
1222.1	director de departamento de publicidad y relaciones públicas
1222.1	portavoz
1222.1	responsable de comunicación
1222.1	responsable del gabinete de prensa
1223.1.1	directora de productos de seguros
1223.1.1	director de productos de seguros
1223.1.1	responsable de de productos de seguros
1223.1	directora de productos
1223.1	director de productos
1223.1	responsable de producto
1223.2.1.1	directora de desarrollo de prendas de vestir
1223.2.1.1	director de desarrollo de prendas de vestir
1223.2.1.2	directora de desarrollo de productos de calzado
1223.2.1.2	directora del departamento de desarrollo de productos de calzado
1223.2.1.2	director de desarrollo de productos de calzado
1223.2.1.2	director del departamento de desarrollo de productos de calzado
1223.2.1.3	directora de desarrollo de juegos
1223.2.1.3	directora del departamento de desarrollo de juegos
1223.2.1.3	director de desarrollo de juegos
1223.2.1.3	director del departamento de desarrollo de juegos
1223.2.1.4	directora de desarrollo de marroquinería
1223.2.1.4	directora del departamento de desarrollo de marroquinería
1223.2.1.4	director de desarrollo de marroquinería
1223.2.1.4	director del departamento de desarrollo de marroquinería
1223.2.1	directora de desarrollo de productos
1223.2.1	directora del departamento de desarrollo de productos
1223.2.1	director de desarrollo de productos
1223.2.1	director del departamento de desarrollo de productos
1223.2.2.1	gestora de investigación de TI
1223.2.2.1	gestora de investigación de TIC
1223.2.2.1	gestora de investigación de TICs
1223.2.2.1	gestora de investigación informática
1223.2.2.1	gestor de investigación de TI
1223.2.2.1	gestor de investigación de TIC
1223.2.2.1	gestor de investigación de TICs
1223.2.2.1	gestor de investigación informática
1223.2.2	directora de investigación
1223.2.2	directora del departamento de investigación
1223.2.2	director de investigación
1223.2.2	director del departamento de investigación
1223.2	directora de investigación y desarrollo
1223.2	directora del departamento de investigación y desarrollo
1223.2	director de investigación y desarrollo
1223.2	director del departamento de investigación y desarrollo
1311.1	directora de produccion forestal
1311.1	directora de produccion y conservación de explotaciones forestales
1311.1	director de produccion forestal
1311.1	director de produccion y conservación de explotaciones forestales
1311.1	forestal
1311.1	responsable del bosque
1311.1	responsable de los bosques
1311.1	responsable forestal
1311.1	responsables de silvicultura
1312.1	directora de producción de explotaciones acuícolas
1312.1	director de producción de explotaciones acuícolas
1312.2	directora de cultivo en explotacion acuícola
1312.2	directora de producción acuícola
1312.2	director de cultivo en explotacion acuícola
1312.2	director de producción acuícola
1312.3	directora de producción en explotacion acuícola
1312.3	director de producción en explotacion acuícola
1312.3	responsable de producción acuícola
1321.1.1.1	directora de producción en el sector químico
1321.1.1.1	directora de producción en planta químicaç
1321.1.1.1	director de producción en el sector químico
1321.1.1.1	director de producción en planta química
1321.1.1.2	directora de operaciones en la industria textil
1321.1.1.2	director de operaciones en la industria textil
1321.1.1.3	directora de producción en la industria alimentaria
1321.1.1.3	director de producción en la industria alimentaria
1321.1.1.3	encargada de la producción alimentaria
1321.1.1.3	encargada de la producción de alimentos
1321.1.1.3	encargado de la producción alimentaria
1321.1.1.3	encargado de la producción de alimentos
1321.1.1.3	responsable de producción alimentaria
1321.1.1.4	directora de producción en la industria del calzado
1321.1.1.4	director de producción en la industria del calzado
1321.1.1.5	directora de operaciones en la industria de acabado del cuero
1321.1.1.5	director de operaciones en la industria de acabado del cuero
1321.1.1.6.1	directora de producción de marroquinería
1321.1.1.6.1	director de producción de marroquinería
1321.1.1.6.2	directora de departamento de procesamiento húmedo del cuero
1321.1.1.6.2	director de departamento de procesamiento húmedo del cuero
1321.1.1.6.2	responsable de departamento de procesamiento húmedo del cuero
1321.1.1.6	directora de producción de artículos de piel y cuero
1321.1.1.6	directora de producción de curtidos
1321.1.1.6	directora de producción de marriquinería
